[COT 2023-5M-22 23:43:44] 76561198040010982: Spawned Entity DK Shirt (TShirt_Black<b4aa4c00>, -1, 50) at <8172.474121, 34.749809, 10653.250977>
[COT 2023-5M-22 23:44:17] 76561198040010982: Spawned Entity Beyond Wild Forest fruits (Marmalade<256de250>, 400, 40) at <8172.773438, 34.749809, 10653.332031>
[COT 2023-5M-22 23:44:17] 76561198040010982: Spawned Entity Beyond Wild Forest fruits (Marmalade<256d95d0>, 400, 40) at <8172.773438, 34.749809, 10653.332031>
[COT 2023-5M-22 23:44:17] 76561198040010982: Spawned Entity Beyond Wild Forest fruits (Marmalade<256e1220>, 400, 40) at <8172.773438, 34.749809, 10653.332031>
[COT 2023-5M-22 23:44:25] 76561198040010982: Spawned Entity Beyond Space Rocks (Marmalade<256da8f0>, 400, 40) at <8172.773438, 34.749809, 10653.332031>
[COT 2023-5M-22 23:44:25] 76561198040010982: Spawned Entity Beyond Space Rocks (Marmalade<256e0890>, 400, 40) at <8172.773438, 34.749809, 10653.332031>
[COT 2023-5M-22 23:45:48] 76561198040010982: Spawned Entity Gunmetal Shirt (TShirt_Black<bf8e7d30>, -1, 50) at <8172.722656, 34.749809, 10654.883789>
[COT 2023-5M-22 23:45:50] 76561198040010982: Spawned Entity Yeti Shirt (TShirt_Black<bf8f56b0>, -1, 50) at <8172.722656, 34.749809, 10654.883789>
[COT 2023-5M-22 23:46:56] 76561198040010982: Spawned Entity  (House<fab1f760>, -1, 1000) at <8165.181641, 34.769928, 10649.623047>
[COT 2023-5M-22 23:47:38] 76561198040010982: Spawned Entity Sea Chest (SeaChest<c793e3a0>, -1, 600) at <8170.822266, 34.749798, 10652.750000>
[COT 2023-5M-22 23:47:39] 76561198040010982: Spawned Entity Sea Chest (SeaChest<c7937ff0>, -1, 600) at <8170.822266, 34.749798, 10652.750000>
[COT 2023-5M-22 23:47:39] 76561198040010982: Spawned Entity Sea Chest (SeaChest<c7947db0>, -1, 600) at <8170.822266, 34.749798, 10652.750000>
