[COT 2023-5M-27 20:4m:19] 76561198040010982: Set GodMode To true [guid=8vtfObsTQABYXpVHaEsAuZ5QTEAjCvC2a-AZwd4E5dw=]
[COT 2023-5M-27 20:4m:20] 76561198040010982: Set cannot be targeted by AI to true [guid=8vtfObsTQABYXpVHaEsAuZ5QTEAjCvC2a-AZwd4E5dw=]
[COT 2023-5M-27 20:35:55] 76561199176957808: Set GodMode To true [guid=zhJxvJUIQcTeCgEZ3Xhlvc_WjNMgSdId2I-HV3Jo6tA=]
[COT 2023-5M-27 20:35:56] 76561199176957808: Set cannot be targeted by AI to true [guid=zhJxvJUIQcTeCgEZ3Xhlvc_WjNMgSdId2I-HV3Jo6tA=]
[COT 2023-5M-27 20:35:56] 76561199176957808: Set UnlimitedStamina To true [guid=zhJxvJUIQcTeCgEZ3Xhlvc_WjNMgSdId2I-HV3Jo6tA=]
[COT 2023-5M-27 20:35:57] 76561199176957808: Set UnlimitedAmmo To true [guid=zhJxvJUIQcTeCgEZ3Xhlvc_WjNMgSdId2I-HV3Jo6tA=]
[COT 2023-5M-27 20:35:59] 76561199176957808: Healed [guid=zhJxvJUIQcTeCgEZ3Xhlvc_WjNMgSdId2I-HV3Jo6tA=]
[COT 2023-5M-27 20:36:10] 76561199176957808: Teleported to <6804.199707, 15.012500, 11656.235352> [guid=8vtfObsTQABYXpVHaEsAuZ5QTEAjCvC2a-AZwd4E5dw=]
[COT 2023-5M-27 20:37:43] 76561199176957808: Teleported [guid=zhJxvJUIQcTeCgEZ3Xhlvc_WjNMgSdId2I-HV3Jo6tA=] to <6786.209961, 15.231100, 11687.200195>
[COT 2023-5M-27 20:37:53] 76561199176957808: Set the date to 2011/12/12 12:0
[COT 2023-5M-27 20:37:55] 76561199176957808: Set rain to 0 0 0
[COT 2023-5M-27 20:37:55] 76561199176957808: Set storm to 0 0.8 4000
[COT 2023-5M-27 20:37:55] 76561199176957808: Set fog to 0 0 0
[COT 2023-5M-27 20:37:55] 76561199176957808: Set overcast to 0 0 0
[COT 2023-5M-27 20:37:55] 76561199176957808: Set wind to 0 0 1
[COT 2023-5M-27 20:39:58] 76561199176957808: Spawned Entity Fire Barrel (BarrelHoles_Red<1e3499b0>, -1, 900) at <6789.584961, 15.231125, 11693.984375>
[COT 2023-5M-27 20:40:23] 76561199176957808: Spawned Entity Bandage (BandageDressing<881ea420>, 4, 50) at <6790.630859, 15.230335, 11693.206055>
[COT 2023-5M-27 20:40:23] 76561199176957808: Spawned Entity Bandage (BandageDressing<881eb740>, 4, 50) at <6790.630859, 15.230335, 11693.206055>
[COT 2023-5M-27 20:40:24] 76561199176957808: Spawned Entity Bandage (BandageDressing<881ee710>, 4, 50) at <6790.630859, 15.230335, 11693.206055>
[COT 2023-5M-27 20:40:24] 76561199176957808: Spawned Entity Bandage (BandageDressing<881ef0a0>, 4, 50) at <6790.630859, 15.230335, 11693.206055>
[COT 2023-5M-27 20:40:24] 76561199176957808: Spawned Entity Bandage (BandageDressing<881eadb0>, 4, 50) at <6790.630859, 15.230335, 11693.206055>
[COT 2023-5M-27 20:40:36] 76561199176957808: Spawned Entity Firewood (Firewood<881e9100>, 1, 500) at <6790.630859, 15.230335, 11693.206055>
[COT 2023-5M-27 20:40:36] 76561199176957808: Spawned Entity Firewood (Firewood<881f5040>, 1, 500) at <6790.630859, 15.230335, 11693.206055>
[COT 2023-5M-27 20:40:37] 76561199176957808: Spawned Entity Firewood (Firewood<881f59d0>, 1, 500) at <6790.630859, 15.230335, 11693.206055>
[COT 2023-5M-27 20:40:37] 76561199176957808: Spawned Entity Firewood (Firewood<881f6360>, 1, 500) at <6790.630859, 15.230335, 11693.206055>
[COT 2023-5M-27 20:40:37] 76561199176957808: Spawned Entity Firewood (Firewood<881f6cf0>, 1, 500) at <6790.630859, 15.230335, 11693.206055>
[COT 2023-5M-27 20:40:37] 76561199176957808: Spawned Entity Firewood (Firewood<881f03c0>, 1, 500) at <6790.630859, 15.230335, 11693.206055>
[COT 2023-5M-27 20:40:37] 76561199176957808: Spawned Entity Firewood (Firewood<881f2a00>, 1, 500) at <6790.630859, 15.230335, 11693.206055>
[COT 2023-5M-27 20:40:37] 76561199176957808: Spawned Entity Firewood (Firewood<881f0d50>, 1, 500) at <6790.630859, 15.230335, 11693.206055>
[COT 2023-5M-27 20:40:38] 76561199176957808: Spawned Entity Firewood (Firewood<881f8010>, 1, 500) at <6790.630859, 15.230335, 11693.206055>
[COT 2023-5M-27 20:40:38] 76561199176957808: Spawned Entity Firewood (Firewood<881f3390>, 1, 500) at <6790.630859, 15.230335, 11693.206055>
[COT 2023-5M-27 20:40:38] 76561199176957808: Spawned Entity Firewood (Firewood<881f16e0>, 1, 500) at <6790.630859, 15.230335, 11693.206055>
[COT 2023-5M-27 20:40:38] 76561199176957808: Spawned Entity Firewood (Firewood<881f46b0>, 1, 500) at <6790.630859, 15.230335, 11693.206055>
