[COT 2023-05-29 11:53:56] 76561198930893538: Teleported to position <6799.253906, 15.000000, 11667.167969>
[COT 2023-05-29 11:54:14] 76561198040010982: Teleported to <6797.256836, 15.012443, 11672.290039> [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:20] 76561198930893538: Set GodMode To true [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:22] 76561198930893538: Set cannot be targeted by AI to true [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:22] 76561198930893538: Set UnlimitedStamina To true [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:23] 76561198930893538: Set UnlimitedAmmo To true [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=]
[COT 2023-05-29 11:54:23] 76561198040010982: Entered the Free Camera
[COT 2023-05-29 11:54:40] 76561198040010982: Left the Free Camera
[COT 2023-05-29 11:54:47] 76561198040010982: Teleported [guid=QOVCOk5flZ8LlxY_vIXEUxFpj4R6rL-wr-TF8_b4xZo=] to <6303.172363, 20.692453, 9520.850586>
[COT 2023-05-29 11:56:16] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<5324f4a0>, 50000, 100) at <6301.911133, 20.692390, 9522.635742>
[COT 2023-05-29 11:56:16] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<532520e0>, 50000, 100) at <6301.911133, 20.692390, 9522.635742>
[COT 2023-05-29 11:56:17] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<53252bf0>, 50000, 100) at <6301.911133, 20.692390, 9522.635742>
[COT 2023-05-29 11:56:17] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<5324e990>, 50000, 100) at <6301.911133, 20.692390, 9522.635742>
[COT 2023-05-29 11:56:17] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<53256e50>, 50000, 100) at <6301.911133, 20.692390, 9522.635742>
[COT 2023-05-29 11:56:17] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<53256340>, 50000, 100) at <6301.911133, 20.692390, 9522.635742>
[COT 2023-05-29 11:56:17] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<53253700>, 50000, 100) at <6301.911133, 20.692390, 9522.635742>
[COT 2023-05-29 11:56:17] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<53254d20>, 50000, 100) at <6301.911133, 20.692390, 9522.635742>
[COT 2023-05-29 11:56:17] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<53257960>, 50000, 100) at <6301.911133, 20.692390, 9522.635742>
[COT 2023-05-29 11:56:17] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<53255830>, 50000, 100) at <6301.911133, 20.692390, 9522.635742>
[COT 2023-05-29 11:56:17] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<532682e0>, 50000, 100) at <6301.911133, 20.692390, 9522.635742>
[COT 2023-05-29 11:56:18] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<53269900>, 50000, 100) at <6301.911133, 20.692390, 9522.635742>
[COT 2023-05-29 11:56:18] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<53263570>, 50000, 100) at <6301.911133, 20.692390, 9522.635742>
[COT 2023-05-29 11:56:18] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<ea694ca0>, 50000, 100) at <6301.911133, 20.692390, 9522.635742>
[COT 2023-05-29 11:56:18] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<ea6957b0>, 50000, 100) at <6301.911133, 20.692390, 9522.635742>
[COT 2023-05-29 11:56:18] 76561198040010982: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<ea69d160>, 50000, 100) at <6301.911133, 20.692390, 9522.635742>
