[COT 2023-06-01 11:55:40] 76561198040010982: Set GodMode To true [guid=8vtfObsTQABYXpVHaEsAuZ5QTEAjCvC2a-AZwd4E5dw=]
[COT 2023-06-01 11:55:42] 76561198040010982: Set cannot be targeted by AI to true [guid=8vtfObsTQABYXpVHaEsAuZ5QTEAjCvC2a-AZwd4E5dw=]
[COT 2023-06-01 11:55:44] 76561198040010982: Healed [guid=8vtfObsTQABYXpVHaEsAuZ5QTEAjCvC2a-AZwd4E5dw=]
[COT 2023-06-01 11:55:44] 76561198040010982: Healed [guid=8vtfObsTQABYXpVHaEsAuZ5QTEAjCvC2a-AZwd4E5dw=]
[COT 2023-06-01 11:55:47] 76561198040010982: Entered the Free Camera
[COT 2023-06-01 11:55:52] 76561198040010982: Left the Free Camera
[COT 2023-06-01 11:56:08] 76561198040010982: Entered the Free Camera
[COT 2023-06-01 11:56:15] 76561198040010982: Left the Free Camera
[COT 2023-06-01 14:18:59] 76561198930893538: Spawned Entity Admin Hammer (Hammer<d2871bb0>, -1, 100) at <5227.866699, 35.472809, 8581.946289>
[COT 2023-06-01 14:19:46] 76561198930893538: Spawned Entity Floor Kit (ExpansionFloorKit<d286e460>, -1, 100) at <5230.472168, 35.688496, 8581.281250>
[COT 2023-06-01 14:31:43] 76561198040010982: Healed [guid=8vtfObsTQABYXpVHaEsAuZ5QTEAjCvC2a-AZwd4E5dw=]
[COT 2023-06-01 14:31:43] 76561198040010982: Healed [guid=8vtfObsTQABYXpVHaEsAuZ5QTEAjCvC2a-AZwd4E5dw=]
[COT 2023-06-01 14:35:01] 76561198930893538: ESP: Viewing ESP
[COT 2023-06-01 14:35:03] 76561198930893538: ESP index=0 target=ExpansionWall6x3:05787 position=<5193.531250, 31.530630, 8559.129883> action=delete
[COT 2023-06-01 14:35:03] 76561198930893538: ESP action=delete_all count=1 attempted=1
[COT 2023-06-01 14:41:00] 76561198930893538: ESP: Clearing ESP
[COT 2023-06-01 14:42:49] 76561198930893538: ESP: Viewing ESP
[COT 2023-06-01 14:42:54] 76561198930893538: ESP target=ExpansionAdminHammer:06022 position=<5232.270020, 35.486565, 8589.813477> action=delete
[COT 2023-06-01 14:42:57] 76561198930893538: ESP: Clearing ESP
[COT 2023-06-01 15:45:56] 76561198040010982: Set rain to 0.8 0 0
[COT 2023-06-01 15:45:56] 76561198040010982: Set storm to 0.64 0.8 4000
[COT 2023-06-01 15:45:56] 76561198040010982: Set fog to 0.3 0 0
[COT 2023-06-01 15:45:56] 76561198040010982: Set overcast to 1 0 0
[COT 2023-06-01 15:45:56] 76561198040010982: Set wind to 0.56 0.7 1
[COT 2023-06-01 15:45:59] 76561198040010982: Set rain to 0.8 0 0
[COT 2023-06-01 15:45:59] 76561198040010982: Set storm to 0.64 0.8 4000
[COT 2023-06-01 15:45:59] 76561198040010982: Set fog to 0.3 0 0
[COT 2023-06-01 15:45:59] 76561198040010982: Set overcast to 1 0 0
[COT 2023-06-01 15:45:59] 76561198040010982: Set the date to 2012/1/1 5:10
[COT 2023-06-01 15:45:59] 76561198040010982: Set wind to 0.7 0.7 1
[COT 2023-06-01 15:46:00] 76561198040010982: Set rain to 0.8 0 0
[COT 2023-06-01 15:46:00] 76561198040010982: Set storm to 0.64 0.8 4000
[COT 2023-06-01 15:46:00] 76561198040010982: Set fog to 0.3 0 0
[COT 2023-06-01 15:46:00] 76561198040010982: Set overcast to 1 0 0
[COT 2023-06-01 15:46:00] 76561198040010982: Set wind to 0.56 0.7 1
[COT 2023-06-01 15:46:00] 76561198040010982: Set rain to 0.8 0 0
[COT 2023-06-01 15:46:00] 76561198040010982: Set storm to 0.64 0.8 4000
[COT 2023-06-01 15:46:00] 76561198040010982: Set fog to 0.3 0 0
[COT 2023-06-01 15:46:00] 76561198040010982: Set overcast to 1 0 0
[COT 2023-06-01 15:46:00] 76561198040010982: Set wind to 0.56 0.7 1
[COT 2023-06-01 15:46:17] 76561198040010982: Set rain to 0.8 0 0
[COT 2023-06-01 15:46:17] 76561198040010982: Set storm to 0.64 0.8 4000
[COT 2023-06-01 15:46:17] 76561198040010982: Set fog to 0.3 0 0
[COT 2023-06-01 15:46:17] 76561198040010982: Set overcast to 1 0 0
[COT 2023-06-01 15:46:17] 76561198040010982: Set wind to 0.56 0.7 1
[COT 2023-06-01 15:46:20] 76561198040010982: Set the date to 2012/1/1 0:0
[COT 2023-06-01 15:46:22] 76561198040010982: Set rain to 0.8 0 0
[COT 2023-06-01 15:46:22] 76561198040010982: Set storm to 0.64 0.8 4000
[COT 2023-06-01 15:46:22] 76561198040010982: Set fog to 0.3 0 0
[COT 2023-06-01 15:46:22] 76561198040010982: Set overcast to 1 0 0
[COT 2023-06-01 15:46:22] 76561198040010982: Set wind to 0.56 0.7 1
[COT 2023-06-01 15:46:23] 76561198040010982: Set rain to 0 0 0
[COT 2023-06-01 15:46:23] 76561198040010982: Set storm to 0 0.8 4000
[COT 2023-06-01 15:46:23] 76561198040010982: Set fog to 0 0 0
[COT 2023-06-01 15:46:23] 76561198040010982: Set overcast to 0.15 0 0
[COT 2023-06-01 15:46:23] 76561198040010982: Set the date to 2012/1/1 0:0
[COT 2023-06-01 15:46:23] 76561198040010982: Set wind to 19.3647 19.3647 1
